fileName,surfaceArea,compactness,boundingBoxVolume,diameter,eccentricity,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8
95.off,0.7786310192781539,991.1643946750869,0.21881973297813762,1.0659748084071925,21.42968014974876,1755.0,1761.0,1108.0,859.0,647.0,588.0,455.0,182.0,229.0,976.0,1098.0,1424.0,1456.0,1257.0,590.0,325.0,620.0,1645.0,1741.0,1375.0,1051.0,586.0,276.0,61.0,364.0,1646.0,2202.0,1789.0,909.0,340.0,93.0,12.0,353.0,1438.0,2218.0,1884.0,1031.0,339.0,80.0,12.0
81.off,0.6490671626003086,1160.428368135324,0.22019180993750953,1.0127659788605676,8.669880050770455,1447.0,1537.0,1074.0,710.0,617.0,509.0,325.0,151.0,291.0,1089.0,1305.0,1275.0,1087.0,765.0,377.0,181.0,516.0,1439.0,1641.0,1250.0,790.0,442.0,216.0,76.0,195.0,986.0,1583.0,1680.0,1175.0,577.0,156.0,18.0,309.0,1260.0,1720.0,1591.0,1006.0,371.0,99.0,14.0
94.off,0.8459705985518298,1664.202309387929,0.3628560559345163,1.12752688199008,20.8422426971473,1601.0,1757.0,1248.0,855.0,651.0,529.0,417.0,178.0,455.0,1080.0,1116.0,1305.0,1297.0,1091.0,671.0,221.0,608.0,1388.0,1751.0,1612.0,1085.0,549.0,187.0,56.0,415.0,1774.0,2127.0,1501.0,905.0,392.0,105.0,17.0,405.0,1685.0,2259.0,1700.0,802.0,305.0,71.0,9.0
82.off,0.8141344184155258,1125.421964485106,0.2759922698239001,1.0130842574521792,7.068745760714441,1767.0,1941.0,1477.0,1114.0,844.0,582.0,414.0,160.0,179.0,1091.0,1253.0,1317.0,1578.0,1429.0,1214.0,238.0,576.0,1668.0,1927.0,1908.0,1121.0,644.0,366.0,89.0,301.0,1353.0,2050.0,2196.0,1399.0,694.0,263.0,43.0,445.0,1786.0,2412.0,1995.0,1091.0,444.0,111.0,15.0
96.off,0.9005359388947862,1619.623195494174,0.22408440372956268,1.1096958261646657,23.568840748285492,1853.0,2059.0,1444.0,1061.0,775.0,631.0,482.0,199.0,210.0,1307.0,1383.0,1649.0,1579.0,1201.0,880.0,295.0,680.0,1898.0,2107.0,1833.0,1197.0,563.0,193.0,33.0,452.0,2138.0,2858.0,1798.0,829.0,339.0,76.0,14.0,297.0,1497.0,2407.0,2198.0,1434.0,543.0,111.0,17.0
97.off,0.8744062493836192,1580.2781687048853,0.16751840134578083,1.0955216519294042,20.22201761769374,1707.0,2010.0,1362.0,998.0,830.0,577.0,485.0,198.0,217.0,1365.0,1409.0,1687.0,1765.0,963.0,555.0,206.0,666.0,2103.0,2166.0,1639.0,966.0,442.0,164.0,21.0,311.0,1629.0,2486.0,2081.0,1075.0,426.0,138.0,21.0,315.0,1287.0,2190.0,2224.0,1435.0,581.0,124.0,11.0
83.off,0.6841528272568951,1087.6812901957712,0.21200359438282365,1.0412602640409208,13.614360457947194,1553.0,1475.0,986.0,729.0,580.0,523.0,387.0,143.0,436.0,783.0,915.0,1276.0,1269.0,884.0,528.0,285.0,525.0,1487.0,1619.0,1282.0,856.0,389.0,176.0,42.0,238.0,1171.0,1738.0,1713.0,951.0,412.0,130.0,23.0,395.0,1496.0,1925.0,1535.0,730.0,222.0,62.0,11.0
87.off,0.8005919068518847,966.5770741398156,0.38864396985566013,1.0698136916725165,9.375319423551758,1638.0,1658.0,1301.0,875.0,736.0,591.0,435.0,236.0,649.0,830.0,1044.0,1171.0,1338.0,1151.0,925.0,362.0,558.0,1604.0,1750.0,1580.0,1049.0,551.0,293.0,85.0,398.0,1331.0,2009.0,1733.0,1208.0,550.0,204.0,37.0,402.0,1590.0,2184.0,1822.0,980.0,359.0,117.0,16.0
93.off,1.0290228921334001,978.4800624181255,0.39722006986462494,1.1618339673708185,11.223817284133823,1869.0,1942.0,1362.0,1034.0,786.0,636.0,430.0,157.0,190.0,950.0,1069.0,1264.0,1343.0,1482.0,1320.0,598.0,525.0,1563.0,1747.0,1662.0,1335.0,815.0,437.0,132.0,339.0,1550.0,2316.0,2091.0,1199.0,536.0,169.0,16.0,610.0,2032.0,2464.0,1757.0,936.0,331.0,78.0,8.0
92.off,0.6013001654145886,1013.1296429275852,0.16840217123516893,1.040672178901906,14.6197189603927,1550.0,1372.0,780.0,624.0,502.0,454.0,395.0,190.0,227.0,663.0,1017.0,1143.0,973.0,796.0,683.0,365.0,541.0,1423.0,1430.0,1076.0,712.0,412.0,195.0,78.0,260.0,1118.0,1641.0,1547.0,852.0,337.0,95.0,17.0,348.0,1236.0,1783.0,1409.0,747.0,273.0,64.0,7.0
86.off,0.718801712502549,970.950552429701,0.16955911147584407,1.0229872962742221,8.571987883207997,1679.0,1644.0,1104.0,833.0,636.0,573.0,386.0,183.0,200.0,1077.0,1146.0,1333.0,1295.0,946.0,788.0,253.0,597.0,1748.0,1796.0,1276.0,849.0,491.0,239.0,42.0,198.0,1002.0,1869.0,1825.0,1317.0,570.0,206.0,51.0,323.0,1346.0,2071.0,1795.0,1009.0,381.0,95.0,18.0
90.off,0.818304426435299,1209.899820748724,0.28253276733458793,1.0323254889905114,6.517120030112984,1652.0,1885.0,1436.0,980.0,799.0,550.0,421.0,154.0,599.0,870.0,1114.0,1304.0,1543.0,1294.0,793.0,360.0,507.0,1509.0,1760.0,1773.0,1245.0,717.0,289.0,77.0,286.0,1405.0,2196.0,1984.0,1186.0,582.0,213.0,25.0,539.0,2259.0,2660.0,1600.0,611.0,163.0,43.0,2.0
