fileName,surfaceArea,compactness,boundingBoxVolume,diameter,eccentricity,A3_1,A3_2,A3_3,A3_4,A3_5,A3_6,A3_7,A3_8,D1_1,D1_2,D1_3,D1_4,D1_5,D1_6,D1_7,D1_8,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D2_7,D2_8,D3_1,D3_2,D3_3,D3_4,D3_5,D3_6,D3_7,D3_8,D4_1,D4_2,D4_3,D4_4,D4_5,D4_6,D4_7,D4_8
m1807.off,2.342229674,10.73297481,0.407266222,1.278483656,25.92055591,1603,1152,895,764,613,465,314,124,104,456,732,747,1648,1601,592,50,1832,684,958,906,652,685,198,15,1248,1473,1277,722,637,405,144,24,1113,1810,1289,837,450,260,151,20
m1809.off,2.369461629,26.51687605,0.457031146,1.105956994,5.151383852,3536,2407,3200,2577,1801,1091,538,127,321,1597,3537,6672,1463,514,827,346,3536,4613,508,2244,2787,1434,138,17,3102,4000,2995,2920,875,975,335,75,3680,4976,3326,1933,894,309,129,30
m1808.off,3.229504397,31.46445152,1.096162548,1.254868945,4.877688169,789,783,786,594,417,237,146,71,34,297,364,259,443,1442,511,473,579,582,550,705,722,466,182,37,600,718,767,653,662,307,97,19,673,999,892,616,399,181,57,6
m1801.off,5.064904149,88.22134951,0.605977224,1.323397953,27.534334,263,227,215,174,118,71,49,29,294,347,269,168,50,2,12,4,130,138,210,336,218,78,27,9,118,192,297,208,183,105,32,11,157,321,337,227,72,21,9,2
m1805.off,3.320768614,49.60296637,0.512955492,1.179510539,8.036133237,318,251,276,180,133,93,62,23,132,363,454,323,3,5,54,2,187,201,378,417,83,33,21,16,292,217,224,232,267,67,30,7,376,410,247,136,125,37,3,2
m995.off,1.875572045,13.23341151,0.702187911,1.104812803,3.567710961,1241,1809,1450,1132,682,417,359,158,395,806,989,1180,1764,725,102,1287,413,983,1675,1861,1177,643,345,151,354,1145,1816,2012,1283,507,122,9,541,1540,2070,1739,955,334,62,7
m961.off,8.845029015,1850.332496,0.490330138,1.053113372,5.33764843,1062,1594,1402,1032,739,379,238,67,131,375,886,1138,1499,1446,875,163,313,1136,1462,1420,1148,726,261,47,156,925,1746,1767,1254,533,115,17,236,1000,1654,1723,1204,515,163,18
m966.off,2.565387749,51.75519564,0.414317831,1.029401132,3.38548189,1202,2126,1788,1205,787,488,255,69,347,1026,1456,1388,1304,709,1054,636,380,1534,2315,1909,1176,461,133,12,197,1105,2147,2203,1442,617,179,30,328,1368,2237,2126,1249,479,121,12
m968.off,1.096575056,2.283171723,0.595077678,1.132217538,5.469632879,1751,2286,1550,1122,948,752,457,152,97,621,1438,2267,1980,1496,862,257,720,2339,2484,1811,1017,479,146,22,340,1816,3069,2367,1007,333,78,8,533,2070,2957,2139,947,307,53,12
m932.off,3.069334047,44.94206278,0.899767554,1.152781604,1.031792743,1734,2672,2560,1693,1036,610,370,160,752,1517,2550,1419,810,1333,1305,1149,593,1210,2016,2455,2385,1252,777,147,486,1512,2263,2604,2167,1241,511,51,799,2264,2721,2406,1502,832,258,53
m969.off,0.995808275,1.309305483,0.83751631,1.183717751,3.352722778,1582,2413,2102,1599,1034,619,294,105,380,1545,3000,2814,1307,512,93,97,440,1545,2084,1942,1775,1352,536,74,310,1514,2501,2504,1845,822,227,25,415,1720,2854,2472,1487,604,165,31
m967.off,0.530774858,0.518729865,0.091311561,1.008398263,47.43789782,3687,2701,1710,1261,1186,1079,887,471,1010,2409,3100,2930,2053,1025,380,75,1870,3510,3201,2324,1362,563,143,9,823,3565,4181,2711,1194,397,93,18,690,3237,4301,3164,1242,316,29,3
m960.off,4.662311839,177.8238532,0.145314268,1.12971644,46.68593587,592,294,125,313,185,104,102,103,28,250,694,664,60,18,18,86,457,230,241,715,33,100,40,2,658,355,165,175,293,124,40,8,670,590,261,131,87,43,25,11
m989.off,2.568789777,52.69465822,0.476638838,1.026999683,5.797142125,194,249,199,149,102,52,51,31,34,60,231,256,92,161,57,136,95,237,283,186,122,69,31,4,27,138,242,275,217,91,34,3,35,174,274,252,183,79,23,7
m945.off,4.490836793,45.96037095,0.757248259,1.38920661,6.206175751,1765,1820,1332,1116,925,630,381,143,806,621,1466,1352,1311,1437,722,397,989,2431,1682,880,607,972,462,89,788,2376,2039,1280,814,492,277,46,1169,2874,2009,1135,590,248,74,13
m973.off,0.832772678,1.07437578,0.583015403,1.118761876,2.81515205,2974,3374,3171,2567,1685,1027,500,191,123,390,688,5814,2549,3538,1732,655,2615,5185,2953,2876,1399,394,63,4,1843,4568,3872,3039,1471,548,120,28,2366,5084,4280,2303,1074,306,67,9
m980.off,0.316115303,0.100885651,0.178770893,1.022394063,6.752428037,2296,1821,1285,1275,800,676,546,238,1734,2666,1590,2717,198,16,0,16,2022,3050,2105,1373,337,19,14,17,1392,3033,2495,1420,435,139,20,3,1623,3376,2311,1088,414,103,18,4
m921.off,1.034681768,3.07218887,0.468112394,1.046716826,2.527858877,231,432,482,321,262,115,46,32,881,320,92,68,0,80,0,480,92,100,160,325,394,368,329,153,125,189,178,279,383,405,308,54,168,373,373,297,294,296,108,12
m972.off,1.162318297,3.880479129,0.457224451,1.06704345,7.457042847,2848,2418,3318,2627,1444,955,568,204,1022,277,3169,1653,6995,1141,121,4,2842,679,1176,2443,5186,1515,305,236,5090,818,1014,1041,1881,1942,2020,576,7778,884,1307,1296,1271,1132,655,59
m986.off,0.495972307,0.346490205,0.331848965,1.042591099,8.447451403,1421,1324,1212,1028,802,514,262,93,24,31,146,475,325,47,1252,4356,2929,1659,441,774,506,272,53,22,1390,2357,1250,902,498,173,74,12,1772,2630,1451,565,178,50,9,1
m988.off,0.501522589,0.443494188,0.051361027,1.006153835,18.71306797,770,550,543,466,297,210,177,80,17,17,0,275,128,147,943,1566,1595,684,286,289,192,22,7,18,569,1243,665,405,164,39,6,2,255,773,857,630,337,154,62,25
m909.off,2.353024202,12.72024034,0.316350166,1.245654984,13.80002485,325,230,266,293,363,76,17,16,48,194,294,270,298,192,118,172,239,112,27,228,189,280,323,188,129,196,310,201,121,43,510,76,142,339,217,193,281,268,128,18
m965.off,0.607400641,0.201928887,0.916367756,1.262423315,17.87561998,3489,2892,2350,1613,1229,1026,909,360,337,1851,1828,2099,1949,3103,1852,849,1539,2785,2818,2592,2430,1285,377,42,1312,3465,3955,2760,1519,625,214,18,1325,3831,4175,2785,1255,396,87,14
m991.off,1.007605505,1.345671019,0.927517945,1.185284418,3.585246419,827,1092,1111,806,499,294,182,56,40,156,121,406,1371,1605,923,245,193,718,929,916,945,768,349,49,157,730,1271,1295,865,424,113,12,266,1036,1358,1195,644,283,73,12
m962.off,1.154182584,2.222605695,1.121885276,1.166793445,1.826064787,2119,3960,3563,2390,1501,945,479,179,737,850,3081,3517,3006,2150,1511,284,556,2106,3772,4100,2767,1293,452,90,405,1948,3968,4332,2871,1260,314,38,827,2986,4574,3902,2083,623,123,18
m999.off,1.695214361,3.454860108,1.172989316,1.313835602,1.815122536,243,269,247,179,134,92,49,22,4,0,60,207,273,419,250,22,118,267,326,280,158,68,14,4,99,236,311,291,172,94,27,5,110,298,340,240,153,64,21,9
m963.off,1.563016911,9.659035924,0.676658712,1.062902269,2.160599049,1667,3004,2556,1785,1213,754,410,159,745,2565,2564,1945,1850,1185,589,105,780,2245,3205,2938,1557,562,215,46,496,2333,3749,3010,1451,424,78,7,734,2554,3341,2782,1483,539,107,8
